country_id,language_id
1,135
1,362
1,249
1,19
1,78
2,363
2,246
2,190
2,361
3,363
3,64
3,143
4,298
4,334
4,230
5,23
5,246
6,141
6,69
6,64
7,100
7,337
7,365
7,373
8,68
8,257
8,62
8,276
8,457
8,153
8,387
8,67
8,166
9,64
10,92
10,64
11,246
11,340
12,365
12,445
12,79
13,385
13,431
14,365
14,143
14,64
14,363
15,298
15,397
15,64
15,246
15,112
15,445
15,177
15,102
16,385
16,431
16,156
16,7
17,92
17,356
18,64
18,246
19,89
19,170
19,194
19,11
19,167
19,300
19,319
20,262
20,64
21,190
21,373
21,102
21,445
21,246
21,363
22,365
22,347
22,316
22,64
23,248
23,71
23,188
23,407
23,84
23,218
23,191
24,64
25,299
25,352
25,391
26,146
26,2
26,365
26,315
27,397
28,127
28,175
28,59
28,192
28,42
29,79
29,337
29,102
29,445
29,307
30,111
30,450
30,64
31,64
32,44
32,40
32,138
32,64
33,230
33,238
33,331
33,190
34,91
34,84
34,15
34,198
34,233
34,183
35,414
35,373
35,98
36,64
37,80
37,365
37,164
37,146
38,311
38,64
39,74
39,365
39,44
39,92
40,103
40,246
40,5
41,92
41,356
42,356
42,365
43,365
43,2
44,246
44,118
45,201
45,365
46,250
46,5
46,215
46,419
46,27
46,265
47,365
47,100
47,21
47,437
48,406
48,64
48,371
48,169
48,226
48,205
48,175
48,433
48,244
48,59
48,326
49,426
49,263
49,103
49,439
49,124
49,114
49,419
50,64
51,389
51,340
52,109
52,121
52,134
52,449
52,267
52,51
52,398
52,279
52,173
52,212
53,180
53,378
54,6
54,442
54,446
54,234
55,95
55,52
55,372
55,219
55,84
56,434
56,313
56,431
56,253
56,156
56,385
57,71
57,15
57,455
57,148
57,31
57,91
58,64
58,246
59,92
60,180
60,345
61,373
61,356
62,64
62,83
62,307
62,260
62,283
63,365
63,285
63,366
63,247
63,390
64,162
64,39
64,339
64,84
64,185
64,95
64,443
65,337
65,84
65,95
65,436
65,312
65,110
66,441
66,321
66,92
67,36
67,373
68,92
68,365
68,82
68,347
69,58
69,126
69,105
69,64
69,177
70,46
70,156
71,40
71,239
71,187
71,12
71,76
71,222
71,444
71,380
71,211
72,75
72,430
72,207
72,324
72,355
72,340
72,391
72,259
72,241
72,271
72,28
72,11
73,246
73,204
73,41
73,385
73,145
74,3
74,41
74,145
74,19
74,385
74,399
74,135
74,56
74,246
74,258
75,64
75,22
76,64
76,440
77,156
77,206
77,246
78,445
78,10
78,238
78,334
78,373
78,432
78,102
78,182
79,337
79,380
80,397
80,182
80,388
80,120
80,102
80,33
80,97
80,190
81,340
81,92
82,307
82,37
82,260
82,64
82,283
82,44
83,246
83,129
84,431
84,246
84,90
85,64
85,44
86,397
86,334
86,97
86,230
86,360
86,238
87,44
87,323
87,309
87,112
88,133
88,84
88,261
88,286
88,295
88,163
88,142
88,6
89,259
89,64
89,373
89,365
89,445
89,388
89,337
89,44
89,102
89,384
89,363
89,254
90,337
90,312
91,156
91,447
91,254
91,362
91,155
91,102
92,96
92,354
92,9
92,251
92,359
92,404
92,227
92,282
92,122
92,104
93,57
93,335
93,13
93,367
93,277
93,119
94,32
94,408
94,17
94,425
94,369
94,55
94,44
94,294
94,358
94,428
94,393
94,330
95,155
95,70
95,362
95,156
95,254
95,447
95,376
96,296
96,242
97,365
97,74
97,441
97,321
97,92
98,149
98,209
98,281
98,301
98,30
99,387
99,427
99,99
99,234
99,381
99,235
100,235
100,166
100,412
100,269
100,220
100,26
100,303
100,243
100,116
100,387
101,40
101,64
102,260
102,44
103,44
103,260
104,190
104,298
105,397
105,182
106,365
107,64
107,246
108,298
108,190
109,152
109,158
109,136
109,349
110,254
110,156
110,223
110,113
110,264
110,388
111,226
111,64
111,54
112,373
112,431
112,246
113,95
113,346
113,210
113,451
113,162
113,147
113,339
113,245
114,23
114,246
115,102
115,445
115,190
116,254
116,113
116,388
116,156
116,223
117,337
117,102
117,373
117,415
117,445
118,246
119,308
119,337
119,177
119,64
120,373
120,288
121,238
121,334
121,397
121,190
121,230
122,178
122,221
122,115
122,417
123,370
123,64
124,413
124,24
124,40
124,64
124,355
124,44
125,86
125,256
125,84
125,213
125,14
125,372
126,88
126,64
127,23
127,246
128,328
128,64
129,356
129,373
130,310
130,322
130,84
130,52
130,341
130,372
131,324
131,373
131,355
131,356
131,214
131,340
132,49
132,373
132,288
133,193
133,150
133,365
133,278
133,47
133,280
134,179
134,320
134,48
134,421
134,343
134,275
135,120
135,156
135,29
135,254
135,331
136,64
136,445
136,373
136,344
137,273
137,155
137,318
137,393
137,66
137,290
138,64
139,274
139,186
139,178
139,132
139,433
139,325
139,208
139,336
139,42
139,231
140,410
140,16
140,161
140,383
140,438
140,130
140,297
140,81
141,192
141,102
141,106
141,43
141,225
141,168
141,289
141,326
142,64
142,44
142,287
142,296
142,242
143,396
143,340
143,200
143,128
143,214
143,61
143,352
144,92
144,82
144,342
144,365
145,448
145,203
145,14
145,184
145,84
146,448
146,38
146,184
146,314
146,84
146,71
146,401
146,409
146,293
146,327
147,357
147,64
148,64
149,46
149,64
149,94
149,180
149,216
150,31
150,95
150,147
150,1
150,176
151,246
151,135
152,268
152,259
152,75
152,249
152,374
152,135
152,117
152,329
153,44
153,377
153,64
153,283
154,246
154,365
154,435
154,92
154,402
154,45
155,422
155,240
156,337
156,315
156,102
156,365
157,146
157,365
157,2
158,189
159,44
159,64
159,260
159,364
159,283
159,83
160,337
161,365
161,64
162,388
162,254
162,113
162,102
163,6
163,420
164,246
164,75
165,246
165,190
165,365
165,373
165,445
165,337
166,79
166,356
167,373
167,44
167,386
168,288
168,44
168,301
168,355
168,356
169,120
169,102
169,254
169,238
169,97
169,397
170,303
170,373
171,217
171,165
171,216
171,246
171,365
171,46
172,64
173,64
173,92
174,356
174,64
175,64
175,92
176,373
177,165
177,190
177,298
177,388
177,102
177,445
178,25
178,422
178,240
179,395
179,69
179,429
179,405
179,274
179,304
180,64
180,63
180,141
181,445
182,312
182,373
183,246
184,219
184,84
184,52
184,332
184,372
184,95
185,72
185,373
185,64
186,224
186,403
186,228
186,20
186,443
186,291
186,4
186,84
187,40
187,44
187,355
188,238
188,65
188,97
188,360
188,272
189,182
189,397
189,97
190,103
190,246
191,292
191,355
191,232
192,144
192,246
192,220
192,125
192,151
192,160
192,87
192,368
192,302
192,411
193,94
193,229
193,156
193,217
193,216
194,375
194,340
195,226
195,371
196,102
196,382
196,373
196,445
197,145
197,246
198,70
198,362
198,156
199,308
199,423
199,58
199,157
199,196
199,154
200,453
200,394
200,77
200,108
200,237
200,101
200,137
200,140
200,414
200,195
200,338
201,216
201,246
201,190
201,64
201,102
201,180
201,46
202,44
202,323
202,350
202,152
202,40
202,349
203,15
203,148
203,252
203,18
203,85
203,317
203,333
203,379
204,270
204,64
205,64
205,69
206,92
206,64
206,340
207,416
207,392
207,246
207,452
207,335
207,454
207,284
207,456
208,93
208,97
208,33
208,360
208,388
208,131
208,102
208,238
209,8
209,202
209,246
210,246
210,190
210,145
211,156
211,362
211,19
211,155
212,64
213,64
213,296
213,242
214,181
214,303
214,50
214,174
214,266
214,351
214,172
214,139
214,60
214,306
215,156
215,97
215,388
215,113
215,120
215,331
215,254
216,397
216,97
216,120
216,360
216,102
216,238
217,365
218,373
218,25
218,240
219,64
219,311
220,70
220,447
220,362
220,156
220,34
220,155
221,254
221,113
221,388
221,156
222,236
222,348
223,373
223,64
223,424
224,445
225,197
225,171
225,365
226,156
226,113
226,53
226,123
226,255
226,418
226,199
226,400
226,447
226,254
226,73
226,155
227,44
227,159
227,323
227,112
227,35
227,353
227,152
227,55
227,107
228,113
228,156
228,254
228,217
228,229
229,305
229,365
229,445
229,337
229,112
229,307
229,260
229,44
229,64
229,373
229,102
229,388
230,373
230,365
230,64
231,274
231,42
231,175
231,64
232,206
232,246
239,64
